shape,price,carat,color,clarity,type,cut
Round,3210,0.74,D,VS2,natural,0
Round,960,0.33,E,VVS2,natural,0
Round,350,0.32,F,SI1,lab,0
Oval,8720,2.01,F,VS1,lab,0
Round,3190,1.53,G,SI1,lab,0
Round,860,0.3,G,VVS2,natural,0
Round,380,0.3,D,VVS2,lab,0
Round,26930,2.5,G,SI1,natural,0
Round,2050,0.9,D,VS1,lab,0
Oval,1490,0.91,F,VS2,lab,0
Emerald,7940,2.07,G,VS2,lab,1
Pear,7200,1.5,I,SI1,natural,0
Cushion,3520,1.62,H,VS2,lab,0
Princess,940,0.44,E,VS2,natural,0
Round,710,0.25,D,VVS2,natural,0
Marquise,2070,1.07,H,VS2,lab,1
Round,1090,0.4,F,SI1,natural,0
Emerald,1000,0.7,E,SI1,lab,1
Round,1210,0.91,I,VS2,lab,0
Round,1010,0.3,F,IF,natural,0
Emerald,1240,0.7,D,VS2,lab,0
Oval,980,0.7,E,SI1,lab,0
Round,3960,1.0,E,SI1,natural,1
Round,550,0.3,G,SI1,natural,1
Round,1200,0.3,D,VVS1,natural,0
Round,4130,1.0,J,SI1,natural,0
Oval,7520,2.09,F,VS2,lab,1
Round,2760,1.13,F,VS1,lab,0
Round,1500,0.35,D,IF,natural,0
Pear,1330,0.5,G,VS2,natural,0
Pear,2350,1.02,E,VS1,lab,0
Pear,490,0.5,I,VS2,lab,1
Round,4200,2.01,I,SI1,lab,0
Oval,2940,1.52,H,SI2,lab,0
Round,4900,2.0,I,VS1,lab,1
Marquise,2300,0.5,D,IF,natural,0
Round,3510,0.81,G,SI1,natural,0
Oval,740,0.3,D,VS1,natural,1
Round,2200,1.34,I,VS1,lab,0
Round,1230,0.34,D,VVS2,natural,0
Cushion,2020,0.71,G,SI2,natural,0
Round,720,0.3,E,VVS2,natural,1
Princess,3490,1.01,F,SI2,natural,0
Round,2270,1.26,F,SI1,lab,0
Round,9710,1.05,F,VS1,natural,0
Round,11390,1.5,H,VVS2,natural,0
Round,3340,0.84,I,SI1,natural,0
Round,2140,0.61,E,SI1,natural,0
Round,3140,1.62,I,VS1,lab,0
Pear,1050,0.72,G,VS2,lab,1
Round,2590,0.6,G,VVS2,natural,0
Emerald,610,0.51,E,VS2,lab,1
Round,5850,2.0,H,VS2,lab,0
Round,1510,0.5,E,SI2,natural,1
Round,950,0.73,H,VS1,lab,0
Round,590,0.25,E,VS2,natural,0
Round,7680,1.35,F,SI2,natural,0
Round,3400,0.75,H,VS2,natural,0
Round,7420,0.91,E,VVS1,natural,0
Round,3510,0.92,H,SI2,natural,0
Round,7510,1.5,I,VS1,natural,1
Round,690,0.3,E,VVS2,natural,1
Round,1790,1.13,I,VS1,lab,0
Round,1130,0.73,F,VS1,lab,0
Pear,9540,2.02,E,VS1,lab,1
Round,7780,1.73,D,VS1,lab,0
Marquise,970,0.4,D,VS2,natural,1
Pear,1780,0.64,F,VS2,natural,0
Round,340,0.31,E,SI1,lab,0
Round,7330,1.0,F,VS2,natural,0
Round,2140,0.51,G,VVS2,natural,0
Round,2000,0.53,D,VVS1,natural,0
Round,610,0.54,H,VS2,lab,0
Round,5700,2.09,I,VS2,lab,0
Oval,2790,1.74,J,VS2,lab,0
Oval,1340,0.9,E,SI2,lab,0
Round,2980,0.51,D,VVS1,natural,0
Round,4080,2.07,J,VS1,lab,0
Oval,5250,2.03,I,VS1,lab,0
Emerald,8370,2.43,G,VS1,lab,0
Round,3440,0.9,I,VS2,natural,0
Oval,1180,0.72,F,VVS2,lab,1
Oval,2750,1.12,D,VS1,lab,1
Round,930,0.3,F,VVS1,natural,0
Round,880,0.54,E,VVS2,lab,0
Round,650,0.27,E,VS2,natural,0
Pear,590,0.3,E,SI1,natural,0
Round,3430,2.05,J,SI1,lab,0
Oval,680,0.3,D,VS2,natural,0
Round,930,0.3,F,VVS1,natural,0
Round,4680,1.01,I,VS1,natural,1
Marquise,1280,0.55,D,VS2,natural,1
Round,940,0.3,E,VS1,natural,0
Round,1780,0.64,D,SI2,natural,0
Round,1680,0.53,G,VS1,natural,0
Cushion,2220,0.7,E,SI1,natural,1
Radiant,2380,1.02,F,VVS2,lab,0
Round,2530,0.5,D,VVS2,natural,0
Round,580,0.25,D,VS1,natural,0
Round,840,0.3,E,VS1,natural,1
Round,1350,0.4,F,VVS1,natural,0
Round,2640,0.6,E,VS2,natural,0
Round,800,0.31,E,SI1,natural,0
Round,780,0.72,J,VS2,lab,0
Round,4890,2.0,I,VS2,lab,0
Round,2630,0.51,E,IF,natural,0
Emerald,3500,1.0,I,VS1,natural,1
Round,2840,1.08,F,VVS2,lab,0
Round,760,0.57,G,VVS2,lab,0
Round,1750,1.14,I,VS2,lab,0
Pear,22360,2.0,F,VS1,natural,0
Emerald,650,0.5,E,SI2,natural,0
Cushion,540,0.5,D,SI2,lab,0
Round,2600,0.57,D,VVS2,natural,0
Oval,14490,1.7,F,VS2,natural,1
Oval,700,0.3,D,SI1,natural,1
Cushion,2560,0.9,H,SI1,natural,0
Emerald,720,0.5,J,VS2,natural,0
